Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Gender
6558919c33298201276c23e0,6229e22f5017c8995dae60bd,APPROVED,2023-11-18T10:27:43.778000Z,2023-11-18T10:34:47.692000Z,2023-11-18T11:21:45.791000Z,2023-11-18T10:34:48.235754Z,424.0,CBCT4R5Q,429,English,White/Caucasian,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
655892012aa62dd31aaba326,5d95d2bbd84e9e001607bfea,APPROVED,2023-11-18T10:29:28.158000Z,2023-11-18T10:36:02.531000Z,2023-11-18T11:21:48.561000Z,2023-11-18T10:36:03.085349Z,395.0,CBCT4R5Q,909,English,White/Caucasian,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65589278a36af682da464a94,60002260692988000b2755fd,APPROVED,2023-11-18T10:31:24.680000Z,2023-11-18T10:38:27.762000Z,2023-11-18T11:21:55.803000Z,2023-11-18T10:38:28.325458Z,424.0,CBCT4R5Q,291,"Afrikaans, English",White/Caucasian,46,Female,White,South Africa,United Kingdom,United Kingdom,English,No,Full-Time,
65589279629a34555ae3f914,62eae2fe926386b0c45b116e,APPROVED,2023-11-18T10:31:21.662000Z,2023-11-18T10:35:58.007000Z,2023-11-18T11:21:53.929000Z,2023-11-18T10:35:58.435714Z,277.0,CBCT4R5Q,181,English,White/Caucasian,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
655892accce140ca87d8a045,5e57cc1ee13c8b17e01451c6,APPROVED,2023-11-18T10:32:12.506000Z,2023-11-18T10:56:22.533000Z,2023-11-18T11:21:57.695000Z,2023-11-18T10:56:23.624785Z,1451.0,CBCT4R5Q,240,English,Mixed,62,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time,
655892b01826eeea1b78b0f8,5cb749fda6fe0700189768a5,APPROVED,2023-11-18T10:32:26.969000Z,2023-11-18T10:46:22.033000Z,2023-11-18T11:21:59.872000Z,2023-11-18T10:46:22.471823Z,836.0,CBCT4R5Q,953,English,White/Caucasian,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
655892dd9407ed92d4d18113,5ef5bdeadff5d4224c0249d3,APPROVED,2023-11-18T10:33:01.769000Z,2023-11-18T10:38:55.568000Z,2023-11-18T11:22:05.413000Z,2023-11-18T10:38:56.048070Z,354.0,CBCT4R5Q,444,"English, Portuguese",White/Caucasian,48,Female,White,Angola,Portugal,Portugal,Portuguese,No,Full-Time,
6558930c8072fc8a60036ae7,6076b6aef23dd6abe21ce231,APPROVED,2023-11-18T10:33:52.812000Z,2023-11-18T10:40:53.360000Z,2023-11-18T11:22:07.207000Z,2023-11-18T10:40:53.905760Z,421.0,CBCT4R5Q,712,English,White/Caucasian,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
655880d944e24ac89f9e44d7,5ec0ae6526be4e4c4cd704de,APPROVED,2023-11-18T09:16:09.856000Z,2023-11-18T09:23:04.447000Z,2023-11-18T10:20:53.146000Z,2023-11-18T09:23:04.902759Z,415.0,CBCT4R5Q,450,"Catalan, English, Spanish",White/Caucasian,32,Male,White,Argentina,Spain,Spain,Spanish,No,DATA_EXPIRED,
655880e9da49e5da0eea878d,5e7cbabf37e724303013b9a8,APPROVED,2023-11-18T09:16:30.591000Z,2023-11-18T09:21:40.804000Z,2023-11-18T10:20:55.629000Z,2023-11-18T09:21:41.317065Z,311.0,CBCT4R5Q,292,"Afrikaans, English",White/Caucasian,30,Male,White,South Africa,South Africa,South Africa,Afrikaans,No,Part-Time,
