Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d3816f29d77f4f790b4af2,5c72f9bf8711bf000139c5ee,APPROVED,Not Applicable,2024-02-19T16:27:42.581000Z,2024-02-19T16:43:21.267000Z,2024-02-20T14:49:20.327000Z,2024-02-19T16:45:36.086500Z,939.0,CBCT4R5Q,2236,English,White/Caucasian,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d383b31e7ab51a9e48993f,629382914e43b1736f2b1233,APPROVED,Not Applicable,2024-02-19T16:40:08.306000Z,2024-02-19T16:47:23.784000Z,2024-02-20T14:49:17.164000Z,2024-02-19T16:48:35.243494Z,436.0,CBCT4R5Q,911,English,White/Caucasian,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d3892843dff0c36312feec,5fd763c986c8250530939ce2,APPROVED,Not Applicable,2024-02-19T17:00:28.300000Z,2024-02-19T17:09:22.062000Z,2024-02-20T14:49:15.385000Z,2024-02-19T17:09:22.995779Z,534.0,CBCT4R5Q,403,English,White/Caucasian,49,Female,White,Zambia,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d4a9daec2e453e71e62adf,5bc4416a5f29a80001373c39,APPROVED,Not Applicable,2024-02-20T13:32:18.586000Z,2024-02-20T13:39:24.838000Z,2024-02-20T14:49:13.618000Z,2024-02-20T13:39:25.564867Z,427.0,CBCT4R5Q,193,"Afrikaans, English",White/Caucasian,51,Female,White,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
65d4ad49a3b266dd0e4f607c,61561b5d9502ee82a057dcd2,APPROVED,Not Applicable,2024-02-20T13:46:49.094000Z,2024-02-20T13:56:20.883000Z,2024-02-20T14:50:57.004000Z,2024-02-20T13:56:21.435720Z,572.0,CBCT4R5Q,182,English,White/Caucasian,54,Female,White,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
65d36a41cf187f962408d696,60bf58fdf814d2c749a35458,APPROVED,Not Applicable,2024-02-19T14:48:40.338000Z,2024-02-19T14:58:26.104000Z,2024-02-20T14:48:59.247000Z,2024-02-19T14:58:26.895240Z,586.0,CBCT4R5Q,363,English,African,35,Male,Black,Zimbabwe,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
65d36a7828e47ceab794bfd1,615200d54efc832849db2259,APPROVED,Not Applicable,2024-02-19T14:49:35.367000Z,2024-02-19T15:07:13.839000Z,2024-02-20T14:48:53.179000Z,2024-02-19T15:07:14.306458Z,1059.0,CBCT4R5Q,400,English,African,26,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
65d36a8043fd0b7b5f88713e,5ca8b0cded17090016e1f1c1,APPROVED,Not Applicable,2024-02-19T14:49:44.012000Z,2024-02-19T14:57:04.112000Z,2024-02-20T14:48:52.176000Z,2024-02-19T14:57:04.702610Z,441.0,CBCT4R5Q,388,"English, Spanish, Portuguese",White/Caucasian,44,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
65d36a93927df83ee7b7ae55,5f54a4b66e6c4c8101e6c87d,APPROVED,Not Applicable,2024-02-19T14:49:59.026000Z,2024-02-19T14:57:51.980000Z,2024-02-20T14:48:50.819000Z,2024-02-19T14:57:52.557199Z,473.0,CBCT4R5Q,274,"English, Lithuanian, Polish",Mixed,34,Male,Mixed,Lithuania,Poland,Poland,Lithuanian,No,Full-Time
65d36add30fd5f9b2d32d221,5ed7a7a467a98224295459ff,APPROVED,Not Applicable,2024-02-19T14:51:09.049000Z,2024-02-19T15:03:49.482000Z,2024-02-20T14:48:48.829000Z,2024-02-19T15:03:50.121468Z,761.0,CBCT4R5Q,530,"Portuguese, English",Latino/Hispanic,26,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
