Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
655b6b939ce7bfa464e02025,5abd0b935cd105000161ea7b,APPROVED,2023-11-20T14:22:26.859000Z,2023-11-20T14:32:23.638000Z,2023-11-20T15:17:28.875000Z,2023-11-20T14:32:24.113627Z,597.0,CBCT4R5Q,603,"Italian, English",White/Caucasian,41,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
655b6b291eb3825f475da9fc,613089fe17e00d89f1b6bf59,APPROVED,2023-11-20T14:20:25.127000Z,2023-11-20T14:28:33.045000Z,2023-11-20T15:16:54.344000Z,2023-11-20T14:28:33.587246Z,488.0,CBCT4R5Q,147,English,African,36,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Part-Time
655b6b2c72706039df9de212,5ef67f9650e5f6017d1059ea,APPROVED,2023-11-20T14:20:28.901000Z,2023-11-20T14:32:56.223000Z,2023-11-20T15:17:09.772000Z,2023-11-20T14:32:56.667111Z,748.0,CBCT4R5Q,186,"English, Polish, Russian",White/Caucasian,30,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
655b6b5a0ae5a01e3fa10634,60e855098de3cf2f568ddfc5,APPROVED,2023-11-20T14:21:21.623000Z,2023-11-20T14:41:03.911000Z,2023-11-20T15:17:17.859000Z,2023-11-20T14:41:04.785014Z,1183.0,CBCT4R5Q,251,English,African,30,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
655b6b6ef6d64d6d3eca5f8d,61312359198de5c453d3cfb9,APPROVED,2023-11-20T14:21:41.142000Z,2023-11-20T14:32:49.955000Z,2023-11-20T15:17:22.227000Z,2023-11-20T14:32:50.618130Z,669.0,CBCT4R5Q,145,"Afrikaans, English",White/Caucasian,26,Female,White,South Africa,South Africa,South Africa,Afrikaans,No,DATA_EXPIRED
655b6b8157eaab5e49239fd6,614c1ffbfb747b8240060d1c,APPROVED,2023-11-20T14:22:01.753000Z,2023-11-20T14:31:07.445000Z,2023-11-20T15:17:23.653000Z,2023-11-20T14:31:07.966153Z,546.0,CBCT4R5Q,207,English,African,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
655b6b902752d107cb8dfa92,60e88e2e4236b6f23a6d702d,APPROVED,2023-11-20T14:22:08.934000Z,2023-11-20T14:36:57.059000Z,2023-11-20T15:17:24.973000Z,2023-11-20T14:36:57.710779Z,889.0,CBCT4R5Q,263,English,African,33,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,DATA_EXPIRED,DATA_EXPIRED
655b6b9196b53404eb4a734a,615b02a30793b73a5c5560ab,APPROVED,2023-11-20T14:22:15.510000Z,2023-11-20T14:33:21.610000Z,2023-11-20T15:17:26.364000Z,2023-11-20T14:33:22.223608Z,667.0,CBCT4R5Q,104,English,African,28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
655b6b9b0b55852f9cc67720,615f303d42ae872aad5de8e6,APPROVED,2023-11-20T14:22:26.328000Z,2023-11-20T14:28:30.074000Z,2023-11-20T15:17:27.619000Z,2023-11-20T14:28:30.609685Z,364.0,CBCT4R5Q,135,"Afrikaans, English",African,27,Female,Other,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
655b6bbed5347bfc14711f69,6111137967525c171b23e66c,APPROVED,2023-11-20T14:23:27.320000Z,2023-11-20T14:29:12.186000Z,2023-11-20T15:17:35.215000Z,2023-11-20T14:29:12.735541Z,345.0,CBCT4R5Q,145,English,African,32,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
655b6bd753261bdcf5feb433,5f56104edb04a89ea3f12ec6,APPROVED,2023-11-20T14:23:19.745000Z,2023-11-20T14:34:14.093000Z,2023-11-20T15:17:34.048000Z,2023-11-20T14:34:14.680434Z,655.0,CBCT4R5Q,119,"English, French, Spanish",Latino/Hispanic,42,Female,Mixed,Colombia,Belgium,Colombia,Spanish,No,Unemployed (and job seeking)
655b6c5f0c6fd5e0e156e54f,62d5a4f33f275c171481c857,APPROVED,2023-11-20T14:25:39.582000Z,2023-11-20T14:32:45.773000Z,2023-11-20T15:17:36.414000Z,2023-11-20T14:32:46.363290Z,427.0,CBCT4R5Q,130,English,White/Caucasian,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
655b97010bfba1d6e90aad5b,642def73d32acceb195a4475,APPROVED,2023-11-20T17:27:44.557000Z,2023-11-20T17:32:58.158000Z,2023-11-20T17:34:21.965000Z,2023-11-20T17:32:58.777388Z,314.0,CBCT4R5Q,134,English,White/Caucasian,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
